url,name,description
https://www.stategrowth.tas.gov.au/grants_and_funding_opportunities,TAS State Growth,Business industry regional TAS
https://www.tis.tas.gov.au/scholarships_and_programs,TAS Institute of Sport,Athlete support TAS
https://www.grants.act.gov.au/,ACT Government,Central grants portal ACT
https://www.tenders.gov.au/,ACT Tenders,ACT uses AusTender
https://www.arts.act.gov.au/funding,artsACT,Arts funding ACT
https://www.health.act.gov.au/research/research-grants-and-funding,ACT Health Research,Medical research ACT
https://www.act.gov.au/directorates-and-agencies/act-health/health-promotion-and-grants,ACT Health Promotion,Health promotion grants ACT
https://events.act.gov.au/funding,Events ACT,Event funding ACT
https://www.education.act.gov.au/support-for-our-students/financial-and-resource-assistance-for-families,ACT Education,Student family support ACT
https://grantsnt.nt.gov.au/,GrantsNT,Central grants portal NT
https://tendersonline.nt.gov.au/,NT Tenders,Central tenders portal NT
https://industry.nt.gov.au/support-for-business/grants-and-funding,NT Industry,Business grants NT
https://nt.gov.au/leisure/arts-culture-heritage/arts-grants-and-funding,NT Arts,Arts funding NT
https://www.cityofsydney.nsw.gov.au/opportunities,City of Sydney,Sydney council grants and tenders
https://www.melbourne.vic.gov.au/about-council/governance-transparency/tenders-contracts/Pages/tenders.aspx,City of Melbourne Tenders,Melbourne council tenders
https://www.melbourne.vic.gov.au/arts-and-culture/strategies-support/funding/Pages/arts-grants.aspx,City of Melbourne Arts,Melbourne arts grants
https://www.brisbane.qld.gov.au/about-council/governance-and-strategy/tenders-and-procurement,Brisbane City Council Tenders,Brisbane council tenders
https://www.brisbane.qld.gov.au/community-and-safety/grants-and-awards,Brisbane City Council Grants,Brisbane community grants
https://perth.wa.gov.au/business-and-development/tenders-and-eoi,City of Perth Tenders,Perth council tenders
https://perth.wa.gov.au/community/grants-and-sponsorship,City of Perth Grants,Perth community grants
https://www.cityofadelaide.com.au/tenders-contracts/,City of Adelaide Tenders,Adelaide council tenders
https://www.cityofadelaide.com.au/community/grants-funding/,City of Adelaide Grants,Adelaide community grants
https://research.unimelb.edu.au/work-with-us/funding,University of Melbourne,Research funding opportunities
https://www.sydney.edu.au/research/opportunities-and-programs.html,University of Sydney,Research funding opportunities
https://research.uq.edu.au/research-support/finding-funding,University of Queensland,Research funding opportunities
https://www.monash.edu/researchoffice/find-and-apply/funding-sources,Monash University,Research funding opportunities
https://research.unsw.edu.au/funding-opportunities,UNSW Sydney,Research funding opportunities
https://www.research.uwa.edu.au/development/funding,University of Western Australia,Research funding opportunities
https://www.adelaide.edu.au/research/our-research/find-funding,University of Adelaide,Research funding opportunities
https://www.anu.edu.au/research/research-support/funding-opportunities,Australian National University,Research funding opportunities
https://grdc.com.au/research/apply-for-investment,GRDC,Grains research investment
https://grdc.com.au/research/tenders,GRDC Tenders,Grains research tenders
https://www.mla.com.au/research-and-development/funding-opportunities/,MLA,Meat and livestock research
https://www.horticulture.com.au/delivery-partners/,Hort Innovation,Horticulture research funding
https://www.frdc.com.au/apply-for-funding,FRDC,Fisheries research funding
https://agrifutures.com.au/funding-opportunities/,AgriFutures Australia,Agricultural innovation funding
https://www.wineaustralia.com/research/applying-for-funding,Wine Australia,Wine industry research
https://www.dairyaustralia.com.au/research-and-development/our-portfolio-of-work,Dairy Australia,Dairy research projects
https://www.crdc.com.au/for-researchers,CRDC,Cotton research funding
https://www.fwpa.com.au/research-development/funding-opportunities/,FWPA,Forest and wood products research
https://www.philanthropy.org.au/seeking-funding/,Philanthropy Australia,Foundation funding resources
https://communityfoundation.org.au/grant-rounds/,Australian Communities Foundation,Community grants
https://www.eqt.com.au/philanthropy/grant-funding,Equity Trustees,Multiple trust grants
https://www.perpetual.com.au/philanthropy/how-to-apply-for-funding/,Perpetual,IMPACT philanthropy grants
https://www.ianpotter.org.au/apply-for-a-grant/,Ian Potter Foundation,Major Australian foundation
https://myerfoundation.org.au/grants/,Myer Foundation,Sidney Myer Fund grants
https://paulramsayfoundation.org.au/funding-opportunities/,Paul Ramsay Foundation,Large scale social impact
https://www.besenfoundation.org.au/,Besen Family Foundation,Victorian foundation
https://frrr.org.au/funding/,FRRR,Rural and regional grants
https://www.lmcf.org.au/apply-grant,Lord Mayor's Foundation Melbourne,Melbourne community grants
https://scanlonfoundation.org.au/grants/,Scanlon Foundation,Social cohesion focus
https://gandelfoundation.org.au/how-we-grant/,Gandel Foundation,Major philanthropic foundation
https://www.vfff.org.au/,Vincent Fairfax Foundation,Education and social welfare
https://www.thynereid.org.au/applications,Thyne Reid Foundation,Brisbane based foundation
https://www.colliercharitable.org/how-to-apply/,Collier Charitable Fund,Western Australian foundation
https://www.snowfoundation.org.au/apply-for-funding/,Snow Foundation,Canberra region foundation
https://www.minderoo.org/our-initiatives/,Minderoo Foundation,Large scale initiatives
https://www.nab.com.au/about-us/sustainability/nab-foundation#grants,NAB Foundation,Community grants from NAB
https://www.westpac.com.au/about-westpac/sustainability/westpac-foundation/our-grants/,Westpac Foundation,Social enterprise grants
https://www.telstrafoundation.com/apply-for-funding,Telstra Foundation,Digital inclusion focus
https://www.bhp.com/sustainability/community/bhp-foundation/,BHP Foundation,Resources sector foundation
https://www.riotinto.com/sustainability/communities-and-social-performance,Rio Tinto Community,Mining community investment
https://www.commbank.com.au/about-us/opportunity-initiatives/commbank-next-chapter.html,CommBank Foundation,Financial wellbeing focus
https://www.originenergy.com.au/about/sustainability/origin-energy-foundation/,Origin Energy Foundation,Education focus
https://auspost.com.au/about-us/supporting-communities/grants,Australia Post,Community grants
https://www.hcf.com.au/about-hcf/hcf-foundation,HCF Research Foundation,Health research funding
https://www.impactinvestingaustralia.com/pathways-to-impact/for-social-enterprises/,Impact Investing Australia,Social enterprise support
https://www.churchilltrust.com.au/become-a-fellow/,Winston Churchill Trust,International fellowships
https://www.australianethical.com.au/community-grants/,Australian Ethical,Community grants program
https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,Horizon Europe,EU research funding
https://erc.europa.eu/apply-grant,European Research Council,Prestigious EU grants
https://marie-sklodowska-curie-actions.ec.europa.eu/opportunities,Marie Curie Actions,EU mobility fellowships
https://grants.nih.gov/funding/searchguide/index.html#/,NIH USA,US medical research
https://www.nsf.gov/funding/,NSF USA,US science research
https://www.nsf.gov/od/oise/intl-collaborations/index.jsp,NSF International,US international collaboration
https://www.energy.gov/science/listings/funding-opportunities,US Dept of Energy,Energy research funding
https://basicresearch.defense.gov/Resources/Funding-Opportunities/,US DOD Research,Defense research funding
https://www.afrl.af.mil/AFOSR/,AFOSR,Air Force research
https://www.arl.army.mil/business/broad-agency-announcements/,Army Research Office,Army research funding
https://www.nre.navy.mil/organization/onr-global,ONR Global,Navy research international
https://www.darpa.mil/work-with-us/opportunities,DARPA,High-risk high-payoff research
https://www.nifa.usda.gov/grants/programs/international-programs,USDA NIFA,US agriculture international
https://www.ukri.org/opportunity/,UKRI,UK research funding
https://wellcome.org/grant-funding/schemes,Wellcome Trust,International biomedical research
https://royalsociety.org/grants-schemes-awards/grants/,Royal Society UK,UK science fellowships
https://www.thebritishacademy.ac.uk/funding/,British Academy,UK humanities social sciences
https://www.leverhulme.ac.uk/funding,Leverhulme Trust UK,UK research funding
https://www.dfg.de/en/research_funding/programmes/international_cooperation/index.html,DFG Germany,German research funding
https://www.daad.de/en/studying-in-germany/scholarships/daad-scholarships/,DAAD,German academic exchange
https://www.funding-guide.de,DAAD Funding Guide,German funding database
https://www.humboldt-foundation.de/en/apply/sponsorship-programmes,Humboldt Foundation,German research fellowships
https://www.bmbf.de/EN/Home/home_node.html,BMBF Germany,German federal research ministry
https://www.kooperation-international.de/,Kooperation International,German international cooperation
https://anr.fr/en/international-collaboration/,ANR France,French research collaboration
https://www.cnrs.fr/en/cnrs/international-relations,CNRS France,French research international
https://www.campusfrance.org/en/finding-funding-for-your-studies-in-france,Campus France,French study scholarships
https://www.australie.campusfrance.org/scholarships,Campus France Australia,French scholarships for Australians
https://www.jsps.go.jp/english/e-fellow/index.html,JSPS Japan,Japanese research fellowships
https://www.jst.go.jp/EN/inter/index.html,JST Japan,Japanese collaborative research
https://www.nrf.re.kr/eng/main,NRF Korea,Korean research funding
http://www.nsfc.gov.cn/english/site_1/index.html,NSFC China,Chinese research funding
https://www.nserc-crsng.gc.ca/InterAgency-Interorganismes/index_eng.asp,Canadian Tri-Agency,Canadian research councils
https://cihr-irsc.gc.ca/,CIHR Canada,Canadian health research
https://www.sshrc-crsh.gc.ca/,SSHRC Canada,Canadian social sciences
https://idrc-crdi.ca/en/funding,IDRC Canada,Development research Canada
https://www.snf.ch/en/funding/programmes,SNSF Switzerland,Swiss research funding
https://www.forskningsradet.no/en/apply-for-funding/,Research Council Norway,Norwegian research funding
https://www.vr.se/english/applying-for-funding.html,Swedish Research Council,Swedish research funding
https://www.nwo.nl/en/researchprogrammes,NWO Netherlands,Dutch research funding
https://www.sfi.ie/funding/,SFI Ireland,Irish science funding
https://www.fwf.ac.at/en/research-funding/programmes,FWF Austria,Austrian research funding
https://www.fwo.be/en/fellowships-funding/,FWO Belgium,Belgian research Flanders
https://www.fct.pt/en/apoios,FCT Portugal,Portuguese research funding
https://research.ie/funding/,Irish Research Council,Irish research funding
https://www.hfsp.org/funding/hfsp-funding/research-grants,HFSP,International life sciences
https://www.simonsfoundation.org/funding-opportunities/,Simons Foundation,Basic science mathematics
https://www.volkswagenstiftung.de/en/funding/our-funding-portfolio-at-a-glance,Volkswagen Foundation,International research Germany
https://www.moore.org/grant-opportunities,Moore Foundation,Science environment research
https://www.axa-research.org/en,AXA Research Fund,Global risk research
https://www.fulbright.org.au/scholarships/,Fulbright Australia,Australia-US exchange
https://www.rhodeshouse.ox.ac.uk/scholarships/the-rhodes-scholarship/,Rhodes Scholarship,Oxford postgraduate study
https://www.gatescambridge.org/apply/,Gates Cambridge,Cambridge postgraduate study
https://royalsociety.org/grants-schemes-awards/grants/newton-international/,Newton Fellowships,UK early career research
https://careers.cern/join-us,CERN,Physics research opportunities
https://www.embo.org/funding/fellowships-grants-career-support/postdoctoral-fellowships/,EMBO,European molecular biology
https://www.uicc.org/what-we-do/capacity-building/fellowships,UICC,Cancer research fellowships
https://twas.org/opportunities,TWAS,Developing country science
https://www.ictp.it/programmes.aspx,ICTP,Theoretical physics programs
https://the.akdn/en/how-we-work/scholarships,Aga Khan Foundation,Development scholarships
https://www.kaust.edu.sa/en/study/financial-aid,KAUST,Saudi Arabia research
https://rfs.kaust.edu.sa/,KAUST Research,Saudi research funding
https://www.oist.jp/admissions,OIST,Japan research opportunities
https://groups.oist.jp/research-support-division/research-funding-opportunities-information,OIST Funding,Japan funding information
https://www.qnrf.org/en-us/Funding/Funding-Opportunities,QNRF,Qatar research funding
https://www.gatesfoundation.org/how-we-work/funds-and-rfps,Gates Foundation,Global health development
https://www.fordfoundation.org/work/our-grants/,Ford Foundation International,Social justice funding
https://www.opensocietyfoundations.org/grants,Open Society Foundations,Democracy human rights
https://www.adb.org/projects,Asian Development Bank,Asia-Pacific projects
https://selfservice.adb.org/OA_HTML/adb/adbpos/jsp/ADBCMSHomepage.jsp,ADB Procurement,Development procurement
https://projects.worldbank.org/en/projects-operations/procurement,World Bank Projects,Global development tenders
https://www.worldbank.org/en/about/corporate-procurement,World Bank Corporate,Corporate procurement
https://www.worldbank.org/en/programs/scholarships,World Bank Scholarships,Development scholarships
https://www.ungm.org/,UN Global Marketplace,UN procurement portal
https://www.who.int/about/funding/how-to-apply,WHO Funding,Health research funding
https://www.who.int/tdr/grants/en/,WHO TDR,Tropical disease research
https://www.fao.org/partnerships/resource-partners/getting-involved/en/,FAO Partnerships,Agriculture partnerships
https://www.fao.org/procurement/en/,FAO Procurement,Agriculture procurement
https://www.unesco.org/en/fellowships,UNESCO Fellowships,Education culture fellowships
https://www.unesco.org/en/prizes,UNESCO Prizes,Science culture prizes
https://procurement-notices.undp.org/,UNDP Procurement,Development procurement
https://www.unep.org/about-un-environment/funding-partnerships,UNEP Funding,Environment partnerships
https://www.unep.org/procurement,UNEP Procurement,Environment procurement
https://www.bhp.com/suppliers,BHP Suppliers,Mining procurement
https://www.riotinto.com/suppliers,Rio Tinto Suppliers,Mining procurement
https://www.fortescue.com/suppliers,Fortescue Suppliers,Mining procurement
https://www.woodside.com/become-a-supplier,Woodside Suppliers,Oil gas procurement
https://www.santos.com/suppliers-contractors/,Santos Suppliers,Oil gas procurement
https://www.telstra.com.au/aboutus/community-environment/suppliers/become-a-supplier,Telstra Suppliers,Telecom procurement
https://www.optus.com.au/about/sustainability/responsible-business/supply-chain,Optus Suppliers,Telecom procurement
https://www.woolworthsgroup.com.au/au/en/suppliers.html,Woolworths Suppliers,Retail procurement
https://www.colesgroup.com.au/suppliers/,Coles Suppliers,Retail procurement
https://www.qantas.com/au/en/qantas-group/acting-responsibly/our-suppliers.html,Qantas Suppliers,Airline procurement
https://www.commbank.com.au/about-us/suppliers.html,CBA Suppliers,Banking procurement
https://www.westpac.com.au/about-westpac/sustainability/suppliers/,Westpac Suppliers,Banking procurement
https://www.nab.com.au/about-us/corporate-responsibility/customers-community/suppliers,NAB Suppliers,Banking procurement
https://www.anz.com.au/about-us/corporate-responsibility/esg-approach/supply-chain/,ANZ Suppliers,Banking procurement
https://www.lendlease.com/au/suppliers/,Lendlease Suppliers,Construction procurement
https://www.transurban.com/about-us/suppliers,Transurban Suppliers,Infrastructure procurement
https://www.transurban.com/roads-and-projects,Transurban Projects,Infrastructure projects
https://www.agl.com.au/about-agl/suppliers,AGL Suppliers,Energy procurement
https://www.originenergy.com.au/about/suppliers/,Origin Suppliers,Energy procurement
https://www.amcor.com/about/suppliers,Amcor Suppliers,Packaging procurement
https://www.csl.com/our-company/suppliers,CSL Suppliers,Biotechnology procurement
https://research.google/programs-and-events/,Google Research,Academic programs awards
https://www.microsoft.com/en-us/research/academic-programs/,Microsoft Research,Academic fellowships grants
https://research.ibm.com/university/awards/,IBM Research,PhD fellowships faculty awards
https://www.stiftungmedbiol.novartis.com/apply.html,Novartis Foundation,Medical biological research
https://www.gsk.com/en-gb/responsibility/grants-and-donations/,GSK Grants,Pharmaceutical support
https://www.tri.global/our-work/,Toyota Research,Collaborative research
https://www.mitsubishi.com/en/csr/contribution/foundation/,Mitsubishi Foundation,International partnerships
